State,Creditor Name,Bureau 
CA ,ONEMAIN,Experian
CA ,ONEMAIN,TransUnion
CA ,UNITED CONSU,TransUnion
CA ,UMB CARD SVC,TransUnion
CA ,WFB BD CRE,Experian 
CA ,JPMCB CARD,Experian
CA ,US BANK,TransUnion
CA ,COMENITYCAPITAL/EXPLVI,Experian
CA ,SECU CREDIT UNION,Equifax
CA ,TOWER FEDERA,TransUnion
CA ,CALIFORNIA CREDIT UN ,Equifax
CA ,PATELCO CREDIT UNION,Experian
CA ,LIGHTSTREAM,TransUnion
CA ,DIGITAL FEDERAL CRED,Equifax
CA ,FIRST TECH FCU,Experian
CA ,THE GOLDEN 1 CREDIT UN,Experian
CA ,SAFE 1 CREDIT UNION ,Experian
CA ,SAFE 1 CREDIT UNION ,Experian
CA ,VALLEY FIRSTU,Experian
CA ,GM FINANCIAL,TransUnion
CA ,MOTOR CITY B,TransUnion
CA ,TD AUTO FIN,TransUnion
CA ,PATELCO CREDIT UNION,Experian
CA ,700 CREDIT/MOTOR CITY,Experian
CA ,JPMCB AUTO,TransUnion
CA ,ALTAONE FCU,Experian
CA ,US BANK DS WEST,Experian
CA ,SAFE 1 CREDIT UNION,Experian
CA ,HADDAD DODGE,TransUnion
CA ,BAKERSFIELD DODGE IN,Equifax
CA ,700 CREDIT/HADDAD DODG,Experian
CA ,GREENSKY INSTALLMENT,Experian
CA ,ENERBANK USA,TransUnion
CA ,CBNA,Equifax
CA ,WF CRD SVC,Experian 
CA ,FINGERHUT/WEBBANK,Experian 
CA ,CITI CARDS CBNA,Experian 
CA ,DISCOVER FINANCIAL SER,Experian 
CA ,THD/CBNA,Experian 
CA ,PENTAGON FCU-ALEXAND,Equifax
CA ,CAP ONE NA,Experian 
CA ,CAPITAL ONE BANK USA,Equifax
CA ,CAPITAL ONE JPMCB CARD,TransUnion
CA ,EMS/VETERANS UNITED HO,Experian 
CA ,EQUIFAX MORTGAGE SER,Experian
CA ,VETERANS UNI,Equifax
CA ,BK OF AMER,TransUnion
CA ,CITI CARDS CBNA,Experian 
CA ,BEST EGG/FIRST BK&TR/M,Experian
CA ,CBNA,Experian
CA ,CONTINENTAL FINANCE/CE,Equifax
CA ,SERRAMONTE F,TransUnion
CA ,SERRAMONTE FORD INC,Equifax
CA ,FORD CRED,Experian
CA ,700/SERRAMONTE FORD IN,Experian
CA ,RESIDENT VERIFY,Experian
CA ,CAPITAL ONE,TransUnion
CA ,CAPITAL ONE BANK USA,Equifax
CA ,CAP ONE NA,Experian
CA ,JPMCE CARD,Experian
CA ,JPMCB CARD,Experian
CA ,SETTLEMENT O,TransUnion
CA ,SETTLEMENTONE DATA,Equifax
CA ,"SETTLEMENTONE DATA, LL",Experian
CA ,EXPERIAN BUSINESS CRED,Experian
CA ,AMERICAN EXPRESS KABBA,Experian
CA ,CROSSCOUNTRY,TransUnion
CA ,FACTUAL DATA,Equifax
CA ,FD/CROSSCOUNTRY MORTGA,Experian
CA ,FACTUAL DATA,TransUnion
CA ,FACTUAL DATA,Equifax
CA ,FACTUAL DATA,Experian
CA ,TESLA FINANC,TransUnion
CA ,FACTUAL DATA,TransUnion
CA ,FACTUAL DATA,Equifax
CA ,FACTUAL DATA,Experian
CA ,CORELOGIC,TransUnion
CA ,CORELOGIC CREDCO,Equifax
CA ,CORELOGIC CREDCO LLC,Experian
CA ,FACTUAL DATA,TransUnion
CA ,FACTUAL DATA,Equifax
CA ,FACTUAL DATA,Experian
CA ,BRCLYSBANKDE,TransUnion
CA ,LAND ROVER R,TransUnion
CA ,JPMCB AUTO,TransUnion
CA ,LAND ROVER REDWOOD C,Equifax
CA ,ALLY FINANCIAL,Equifax
CA ,700 CREDIT/LAND ROVER,Experian
CA ,ALLY FINANCIAL,Experian
CA ,KLARNA/WEBBANK,Experian
CA ,CREDCO,TransUnion
CA ,CREDCO,Equifax
CA ,CREDCO,Experian
CA ,CREDCO/CPC,Equifax
CA ,CREDCO/CARDINAL FINANC,Experian
CA ,FACTUAL DATA,TransUnion
CA ,FACTUAL DATA,Equifax
CA ,FACTUAL DATA,Experian
CA ,JPMCB AUTO,TransUnion
CA ,NCCINC/PUTNAM LEXUS,Experian
CA ,WFDS,Experian
CA ,EXPERIAN BUSINESS CRED,Experian
CA ,CAPITAL ONE,TransUnion
CA ,CAPITAL ONE BANK USA,Equifax
CA ,FIRST CITIZENS BANK,Equifax
CA ,BK OF AMER,Experian
CA ,CITI CARDS CBNA,Experian
CA ,US BANK,TransUnion
CA ,MB FIN SVCS,TransUnion
CA ,DOWNTOWN LA,TransUnion
CA ,TOWER FEDERA,TransUnion
CA ,WF PLL,Experian
CA ,CRTFD CRDTI,TransUnion
CA ,CERTIFIED CREDIT REP,Equifax
CA ,CAP ONE NA,Experian
CA ,CAPITAL ONE,TransUnion
CA ,CAPITAL ONE BANK USA,Equifax
CA ,US BANK DS WEST,Experian
CA ,ALLY FINANCIAL,Experian
CA ,ALLY FINANCIAL,Experian
CA ,BK OF AMER,Experian
CA ,JPMCB AUTO,TransUnion
CA ,TD AUTO FIN,TransUnion
CA ,"SHIFT TECHNOLOGIES, JPMCB CARD",Equifax
CA ,ONEMAIN FINANCIAL SERV,Experian
CA ,CAP ONE NA,Experian
CA ,ONEMAIN,Experian
CA ,CAPITAL ONE,TransUnion
CA ,TD BANK USA/TARGET C TD BANK USA/TARGET C,TransUnion
CA ,XACTUS-CIS/FAIRWAY IND,Equifax
CA ,CIS WEST,Equifax
CA ,XACTUS,Experian
CA ,CITIBANK NA,TransUnion
CA ,EXPERIAN BUSINESS CRED,Equifax
CA ,AMEXI,Equifax
CA ,CITIBANK NA,Experian
CA ,Bank Credit Cards,Experian
CA ,All Banks,Equifax
CA ,ELAN FINANCI,TransUnion
CA ,ELAN FINANCIAL SERVICE,Experian
CA ,PNC BANK,Experian
CA ,I FINANCI,TransUnion
CA ,CITICARDS CBNA,Experian
