lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
InBranchBizCC,Bank of Colorado,,,https://app.notion.com/p/legacystrong/Colorado-253c3aa761d28070b6f5f734098892e5,CO,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-COLORADO
InBranchBizCC,Bank of Hawaii,,,https://app.notion.com/p/legacystrong/Hawaii-253c3aa761d280909ddfdb2513a2c16f,HI,,,,,,,,,,,,,,,yes,,,In-branch application preferred; Known for conservative underwriting; relationship helps; Ask about 0% offers available during your appointment,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-HAWAII
InBranchBizCC,Bank of Hope,,,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,CA,,,,,,,,,,,,,,,,,,Best for Korean-American businesses. May not report to personal credit.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-HOPE
InBranchBizCC,Bank of New Hampshire,,,https://app.notion.com/p/legacystrong/New-Hampshire-253c3aa761d2803ca798c269da6d1f3a,NH,,,,,,,,,,,,,,,,,,Kennebunk Savings,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-NEW-HAMPSHIRE
OnlineBizCC,Bank of New Hampshire,,,https://app.notion.com/p/legacystrong/New-Hampshire-253c3aa761d2803ca798c269da6d1f3a,NH,,,,,No biz checking needed,,,,,,,,,,,,,"No biz checking needed; Find the 0% interest business card (usually 20 months); Report $200K+ in “account balance” for higher limits (not verified); Avoid VPNs—Elan is strict on IP address location; After first approval, apply at another Elan bank with consistent info",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANK-OF-NEW-HAMPSHIRE
InBranchBizCC,Bank of Oklahoma,,,https://app.notion.com/p/legacystrong/New-Mexico-253c3aa761d2801cab57e40d9f2a640c,"NM, OK",,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-OKLAHOMA
InBranchBizCC,Bank of Tennessee,,,https://app.notion.com/p/legacystrong/Tennessee-253c3aa761d2802a9625cb0f3e68028c,TN,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-TENNESSEE
InBranchBizCC,Bank of the West,,,https://app.notion.com/p/legacystrong/Nebraska-253c3aa761d280bea995f13e0b43d9d3,NE,,,,,2+ years business age recommended. Checking helps.,,,,,,,,,,,,,🔗 Business Credit Cards; 2+ years business age recommended. Checking helps.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-THE-WEST
OnlineBizCC,Bank of the West,,https://www.bankofthewest.com/small-business/credit-cards/business-credit-card.html,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,"CA, CO, IA, MN, NM, OR, WY",,,,,Best if biz is 2+ years old; Business checking helps; 2+ years business age recommended.; Business checking required.; Prefer business aged 2+ years and biz checking.; Strict underwriting. Prefer 2+ year old businesses.; Tough approvals. Ideal for businesses 2+ years old.; Business checking recommended.; Requires 2+ years of business history; checking account preferred,,,,,,,,,,,,,Strict underwriting; Best if biz is 2+ years old; Business checking helps; 2+ years business age recommended.; Business checking required.; Strict underwriting.; Prefer business aged 2+ years and biz checking.; Strict underwriting. Prefer 2+ year old businesses.; Tough approvals. Ideal for businesses 2+ years old.; Business checking recommended.; Requires 2+ years of business history; checking account preferred,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANK-OF-THE-WEST
InBranchBizCC,Bank of Utah,,,https://app.notion.com/p/legacystrong/Utah-253c3aa761d28057a843c5d26660d602,UT,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-UTAH
